Comment,Designator,Footprint,LCSC Part #
100nF 50V X7R 0805,C100,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF 25V X5R 0805,C101,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100kOhm 0805 1%,"R102,RP1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17407
100Ohm 0805 1%,RG1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
10kOhm 0805 1%,"R11,R12,R104,R105",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
220uF 35V Elko radial D8 RM3.5,C12,CP_Radial_D8.0mm_P3.50mm,C45078
SMCJ30A TVS unidirektional DO-214AB,D10,D_SMC,C340696
SS36C Schottky 60V 3A DO-214AB (SMC),D1,D_SMC,C16237
IRFR5305 P-MOSFET -55V TO-252,Q10,TO-252-3_TabPin2,C2624
NCE6020AK N-MOSFET 60V 20A TO-252,Q1,TO-252-3_TabPin2,C108639
KF350-3.5-2P Klemme 3.5mm 2P 10A,J5,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C474892
SN74LVC1G08DCKR AND SC-70-5,U103,SOT-353_SC-70-5,C7832
SN74LVC1G175DCKR D-Flipflop SC-70-6,U101,SOT-363_SC-70-6,C202238
SN74LVC2G00DCUR Dual-NAND VSSOP-8,U102,VSSOP-8_2.3x2mm_P0.5mm,C206109
STM32C011F6P6 MCU TSSOP-20,U100,TSSOP-20_4.4x6.5mm_P0.65mm,C5456198
0Ohm Bruecke 0805 (Kennwiderstand ID0),R100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477
680Ohm 0805 1% (Kennwiderstand ID1),R101,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17798
