Designator,Mid X,Mid Y,Layer,Rotation
C100,5.8800mm,-28.0800mm,Top,0
C101,5.8800mm,-25.1800mm,Top,0
C102,1.5300mm,-9.8800mm,Top,90
C103,1.5300mm,-14.2400mm,Top,90
C104,1.5300mm,-18.6000mm,Top,90
C90,55.7925mm,-26.7512mm,Top,0
C91,53.4200mm,-33.0800mm,Top,0
D1,39.5000mm,-4.3500mm,Top,0
D2,5.4000mm,-38.7500mm,Top,0
D3,17.1000mm,-38.7500mm,Top,0
D90,56.4400mm,-18.5500mm,Top,0
D91,66.9000mm,-18.5500mm,Top,0
J5,37.6000mm,-23.6000mm,Top,0
J6,11.6000mm,-53.9000mm,Top,0
J7,20.2000mm,-53.9000mm,Top,0
J90,55.5400mm,-6.6000mm,Top,0
Q1,37.5000mm,-13.0100mm,Top,90
Q2,6.8900mm,-46.2000mm,Top,0
Q3,18.5900mm,-46.2000mm,Top,0
Q90,66.5300mm,-11.1000mm,Top,0
R100,5.8500mm,-30.9500mm,Top,0
R101,10.1500mm,-30.9500mm,Top,0
R102,10.2500mm,-25.1500mm,Top,0
R104,5.8500mm,-33.8500mm,Top,0
R105,10.1500mm,-33.8500mm,Top,0
R90,53.3900mm,-1.4500mm,Top,0
R91,57.6900mm,-1.4500mm,Top,0
RG1,35.4500mm,-30.1500mm,Top,0
RG2,36.4500mm,-33.2500mm,Top,0
RG3,36.4500mm,-35.7500mm,Top,0
RP1,39.7500mm,-30.1500mm,Top,0
RP2,40.7500mm,-33.2500mm,Top,0
RP3,40.7500mm,-35.7500mm,Top,0
U100,17.8500mm,-20.0000mm,Top,270
U101,5.4500mm,-22.1000mm,Top,180
U102,16.2800mm,-25.7500mm,Top,180
U103,21.0500mm,-25.6000mm,Top,180
U90,66.6400mm,-24.7500mm,Top,0
