Ref,Val,Package,PosX,PosY,Rot,Side
"J102","Kettenstecker, Stift unten (SMD)","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",12.500000,-4.020000,180.000000,bottom
"J104","Leistungsstecker, Stift unten (SMD)","PinHeader_2x02_P2.54mm_Vertical_SMD",55.970000,-43.270000,180.000000,bottom
"C12","220u","CP_Radial_D8.0mm_P3.50mm",51.502479,-33.751238,0.000000,top
"C100","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.880000,-28.080000,0.000000,top
"C101","1000n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.880000,-25.180000,0.000000,top
"D1","SS36","D_SMC",18.600000,-32.550000,0.000000,top
"D2","SS36","D_SMC",29.050000,-32.550000,0.000000,top
"D3","SS36","D_SMC",39.500000,-32.550000,0.000000,top
"D4","SS36","D_SMC",39.500000,-25.050000,0.000000,top
"D10","SMCJ30A","D_SMC",29.100000,-25.150000,0.000000,top
"H1","M3","",4.000000,-4.000000,0.000000,top
"H2","M3","",4.000000,-56.000000,0.000000,top
"H3","M3","",60.000000,-4.000000,0.000000,top
"H4","M3","",60.000000,-56.000000,0.000000,top
"J5","LED-Kanal 1","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",10.250000,-53.600000,0.000000,top
"J6","LED-Kanal 2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",18.850000,-53.600000,0.000000,top
"J7","LED-Kanal 3","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",27.450000,-53.600000,0.000000,top
"J8","LED-Kanal 4","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",36.050000,-53.600000,0.000000,top
"J100","Stapelstecker 2x20","PinHeader_2x20_P2.54mm_Vertical",8.000000,-13.000000,90.000000,top
"J101","Kettenstecker, Buchse oben (SMD)","PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left",12.500000,-4.020000,0.000000,top
"J103","Leistungsstecker, Buchse oben (SMD)","PinSocket_2x02_P2.54mm_Vertical_SMD",55.920000,-43.270000,0.000000,top
"Q1","NCE6050KA","TO-252-3_TabPin2",8.090000,-40.000000,0.000000,top
"Q2","NCE6050KA","TO-252-3_TabPin2",19.890000,-40.000000,0.000000,top
"Q3","NCE6050KA","TO-252-3_TabPin2",31.690000,-40.000000,0.000000,top
"Q4","NCE6050KA","TO-252-3_TabPin2",43.490000,-40.000000,0.000000,top
"Q10","IRFR5305","TO-252-3_TabPin2",51.390000,-25.000000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.850000,-16.450000,0.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.550000,-16.450000,0.000000,top
"R100","Kennwiderstand (Modultyp)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.850000,-30.950000,0.000000,top
"R101","Kennwiderstand (Modultyp)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.150000,-30.950000,0.000000,top
"R102","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.250000,-25.150000,0.000000,top
"R104","10000 (ID_OBEN)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.850000,-33.850000,0.000000,top
"R105","10000 (ID_OBEN)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.150000,-33.850000,0.000000,top
"RG1","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.850000,-16.450000,0.000000,top
"RG2","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.550000,-16.450000,0.000000,top
"RG3","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.250000,-16.450000,0.000000,top
"RG4","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.950000,-16.450000,0.000000,top
"RP1","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.850000,-19.550000,0.000000,top
"RP2","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.550000,-19.550000,0.000000,top
"RP3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.250000,-19.550000,0.000000,top
"RP4","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.950000,-19.550000,0.000000,top
"U100","STM32C011F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",18.850000,-20.000000,0.000000,top
"U101","SN74LVC1G175","SOT-363_SC-70-6",6.450000,-22.100000,0.000000,top
"U102","SN74LVC2G00DCUR","VSSOP-8_2.3x2mm_P0.5mm",17.280000,-25.750000,0.000000,top
"U103","SN74LVC1G08","SOT-353_SC-70-5",22.050000,-25.600000,0.000000,top
