Designator,Mid X,Mid Y,Layer,Rotation
C10,46.3000mm,-22.5375mm,Top,90
C100,6.8800mm,-28.0800mm,Top,0
C101,6.8800mm,-25.1800mm,Top,0
C11,37.8800mm,-19.8800mm,Top,0
C12,37.2525mm,-54.2512mm,Top,0
C13,16.8800mm,-32.1800mm,Top,0
C14,25.5800mm,-17.4800mm,Top,0
C15,30.2800mm,-17.4800mm,Top,0
C16,25.5800mm,-20.1800mm,Top,0
C9,49.0000mm,-24.6125mm,Top,90
D1,34.4000mm,-42.2500mm,Top,0
J3,13.1800mm,-57.1700mm,Top,90
J5,25.5800mm,-53.6000mm,Top,0
Q1,51.1900mm,-36.1000mm,Top,0
R100,6.8500mm,-30.9500mm,Top,0
R101,11.1500mm,-30.9500mm,Top,0
R102,11.2500mm,-25.1500mm,Top,0
R104,6.8500mm,-33.8500mm,Top,0
R105,11.1500mm,-33.8500mm,Top,0
R11,46.0500mm,-30.7500mm,Top,0
R12,50.4500mm,-30.7500mm,Top,0
R13,11.2500mm,-28.0500mm,Top,0
R15,30.2500mm,-20.1500mm,Top,0
R16,7.2800mm,-36.9300mm,Top,0
R17,12.8800mm,-36.9300mm,Top,0
R18,18.4800mm,-36.9300mm,Top,0
R19,24.0800mm,-36.9300mm,Top,0
R20,26.2500mm,-32.1500mm,Top,0
R21,30.9500mm,-32.1500mm,Top,0
R5,21.5500mm,-32.1500mm,Top,0
R7,16.8500mm,-29.1500mm,Top,0
R8,21.5500mm,-29.1500mm,Top,0
R9,26.2500mm,-29.1500mm,Top,0
U1,39.9000mm,-24.7500mm,Top,0
U100,18.8500mm,-20.0000mm,Top,270
U101,6.4500mm,-22.1000mm,Top,180
U102,17.2800mm,-25.7500mm,Top,180
U103,22.0500mm,-25.6000mm,Top,180
U3,28.9500mm,-36.9000mm,Top,180
U4,9.9500mm,-42.5000mm,Top,0
U5,21.4500mm,-42.5000mm,Top,0
U6,32.8500mm,-36.9000mm,Top,180
U7,36.7500mm,-36.9000mm,Top,180
