Ref,Val,Package,PosX,PosY,Rot,Side
"J102","Kettenstecker, Stift unten (SMD)","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",12.500000,-4.020000,180.000000,bottom
"J104","Leistungsstecker, Stift unten (SMD)","PinHeader_2x02_P2.54mm_Vertical_SMD",55.970000,-43.270000,180.000000,bottom
"C9","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.000000,-24.612500,90.000000,top
"C10","0.022u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.300000,-22.537500,90.000000,top
"C11","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.880000,-19.880000,0.000000,top
"C12","220u","CP_Radial_D8.0mm_P3.50mm",35.502479,-54.251238,0.000000,top
"C13","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.880000,-32.180000,0.000000,top
"C14","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.580000,-17.480000,0.000000,top
"C15","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.280000,-17.480000,0.000000,top
"C16","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.580000,-20.180000,0.000000,top
"C100","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.880000,-28.080000,0.000000,top
"C101","1000n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.880000,-25.180000,0.000000,top
"D1","SMCJ30A","D_SMC_Handsoldering",34.400000,-42.250000,0.000000,top
"H1","M3","",4.000000,-4.000000,0.000000,top
"H2","M3","",4.000000,-56.000000,0.000000,top
"H3","M3","",60.000000,-4.000000,0.000000,top
"H4","M3","",60.000000,-56.000000,0.000000,top
"J3","Notaus-Ruhestrom","PinHeader_1x04_P2.54mm_Vertical",9.370000,-57.170000,90.000000,top
"J5","Motor-Klemme","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",23.040000,-53.600000,0.000000,top
"J100","Stapelstecker 2x20","PinHeader_2x20_P2.54mm_Vertical",8.000000,-13.000000,90.000000,top
"J101","Kettenstecker, Buchse oben (SMD)","PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left",12.500000,-4.020000,0.000000,top
"J103","Leistungsstecker, Buchse oben (SMD)","PinSocket_2x02_P2.54mm_Vertical_SMD",55.920000,-43.270000,0.000000,top
"Q1","IRFR5305","TO-252-3_TabPin2",51.190000,-36.100000,0.000000,top
"R5","1.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.550000,-32.150000,0.000000,top
"R7","0.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.850000,-29.150000,0.000000,top
"R8","0.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.550000,-29.150000,0.000000,top
"R9","0.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.250000,-29.150000,0.000000,top
"R10","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.950000,-29.150000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.050000,-30.750000,0.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.450000,-30.750000,0.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.250000,-28.050000,0.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.250000,-20.150000,0.000000,top
"R16","3.3k","R_1206_3216Metric",7.280000,-36.930000,0.000000,top
"R17","3.3k","R_1206_3216Metric",12.880000,-36.930000,0.000000,top
"R18","3.3k","R_1206_3216Metric",18.480000,-36.930000,0.000000,top
"R19","3.3k","R_1206_3216Metric",24.080000,-36.930000,0.000000,top
