Ref,MidX,MidY
C10,46.3000,-22.5375
C100,6.8800,-28.0800
C101,6.8800,-25.1800
C11,37.8800,-19.8800
C12,37.2525,-54.2512
C13,16.8800,-32.1800
C14,25.5800,-17.4800
C15,30.2800,-17.4800
C16,25.5800,-20.1800
C9,49.0000,-24.6125
D1,34.4000,-42.2500
H1,4.0000,-4.0000
H2,4.0000,-56.0000
H3,60.0000,-4.0000
H4,60.0000,-56.0000
J100,32.1300,-11.7300
J101,12.5000,-4.0200
J102,12.5000,-4.0200
J103,55.9200,-43.2700
J104,55.9700,-43.2700
J3,13.1800,-57.1700
J5,25.5800,-53.6000
Q1,50.0875,-36.1000
R10,30.9500,-29.1500
R100,6.8500,-30.9500
R101,11.1500,-30.9500
R102,11.2500,-25.1500
R104,6.8500,-33.8500
R105,11.1500,-33.8500
R11,46.0500,-30.7500
R12,50.4500,-30.7500
R13,11.2500,-28.0500
R15,30.2500,-20.1500
R16,7.2800,-36.9300
R17,12.8800,-36.9300
R18,18.4800,-36.9300
R19,24.0800,-36.9300
R20,26.2500,-32.1500
R21,30.9500,-32.1500
R5,21.5500,-32.1500
R7,16.8500,-29.1500
R8,21.5500,-29.1500
R9,26.2500,-29.1500
U1,39.9000,-24.7500
U100,18.8500,-20.0000
U101,6.4500,-22.1000
U102,17.2800,-25.7500
U103,21.8825,-25.6000
U3,28.7825,-36.9000
U4,9.9500,-42.5000
U5,21.4500,-42.5000
U6,32.6825,-36.9000
U7,36.5825,-36.9000
